id,item_name,category,purchase_unit,standard_price_per_kg,price_per_g,yield_rate,practical_price_1_2x,practical_price_1_5x,memo
M001,牛こま肉,牛肉,kg,1800.000,1.800,0.90,2160.000,2700.000,業務用平均価格 / 部位により変動
M002,牛バラ肉,牛肉,kg,2200.000,2.200,0.85,2640.000,3300.000,業務用平均価格 / 部位により変動 / 脂身トリムでロスあり
M003,牛ロース,牛肉,kg,3500.000,3.500,0.90,4200.000,5250.000,業務用平均価格 / 部位により変動
M004,牛ヒレ,牛肉,kg,6000.000,6.000,0.85,7200.000,9000.000,業務用平均価格 / 部位により変動 / 銀皮処理ロスあり
M005,牛すじ,牛肉,kg,900.000,0.900,0.85,1080.000,1350.000,業務用平均価格 / 部位により変動 / 下処理ロスあり
M006,豚こま肉,豚肉,kg,900.000,0.900,0.90,1080.000,1350.000,業務用平均価格 / 部位により変動
M007,豚バラ肉,豚肉,kg,1200.000,1.200,0.90,1440.000,1800.000,業務用平均価格 / 部位により変動
M008,豚ロース,豚肉,kg,1300.000,1.300,0.90,1560.000,1950.000,業務用平均価格 / 部位により変動
M009,豚ヒレ,豚肉,kg,1500.000,1.500,0.90,1800.000,2250.000,業務用平均価格 / 部位により変動
M010,豚ミンチ,豚肉,kg,800.000,0.800,1.00,960.000,1200.000,業務用平均価格 / 部位により変動 / ミンチは全量可食
M011,鶏もも肉,鶏肉,kg,800.000,0.800,0.90,960.000,1200.000,業務用平均価格 / 部位により変動
M012,鶏むね肉,鶏肉,kg,600.000,0.600,0.90,720.000,900.000,業務用平均価格 / 部位により変動
M013,鶏ささみ,鶏肉,kg,900.000,0.900,0.90,1080.000,1350.000,業務用平均価格 / 部位により変動
M014,鶏ミンチ,鶏肉,kg,700.000,0.700,1.00,840.000,1050.000,業務用平均価格 / 部位により変動 / ミンチは全量可食
M015,手羽先,鶏肉,kg,700.000,0.700,0.70,840.000,1050.000,業務用平均価格 / 部位により変動 / 骨付きで可食部少ない
M016,手羽元,鶏肉,kg,650.000,0.650,0.70,780.000,975.000,業務用平均価格 / 部位により変動 / 骨付きで可食部少ない
M017,ベーコン,加工肉,kg,1400.000,1.400,0.98,1680.000,2100.000,業務用平均価格 / 部位により変動
M018,ハム,加工肉,kg,1200.000,1.200,0.98,1440.000,1800.000,業務用平均価格 / 部位により変動
M019,ウインナー,加工肉,kg,1000.000,1.000,0.98,1200.000,1500.000,業務用平均価格 / 部位により変動
