id,item_name,category,purchase_unit,standard_price_per_kg_or_l,price_per_g_or_ml,yield_rate,practical_price_1_2x,practical_price_1_5x,memo
V001,キャベツ,葉物,kg,92.000,0.092,0.85,110.400,138.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V002,はくさい,葉物,kg,56.000,0.056,0.85,67.200,84.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V003,だいこん,根菜,kg,74.000,0.074,0.90,88.800,111.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V004,にんじん,根菜,kg,192.000,0.192,0.90,230.400,288.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V005,たまねぎ,根菜,kg,245.000,0.245,0.90,294.000,367.500,市場価格ベース / 実仕入価格は店舗ごとに調整
V006,じゃがいも,芋類,kg,293.000,0.293,0.90,351.600,439.500,市場価格ベース / 実仕入価格は店舗ごとに調整
V007,さつまいも,芋類,kg,284.000,0.284,0.90,340.800,426.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V008,ねぎ,香味野菜,kg,341.000,0.341,0.85,409.200,511.500,市場価格ベース / 実仕入価格は店舗ごとに調整
V009,にら,香味野菜,kg,618.000,0.618,0.85,741.600,927.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V010,ほうれんそう,葉物,kg,496.000,0.496,0.85,595.200,744.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V011,小松菜,葉物,kg,275.000,0.275,0.85,330.000,412.500,市場価格ベース / 実仕入価格は店舗ごとに調整
V012,水菜,葉物,kg,317.000,0.317,0.85,380.400,475.500,市場価格ベース / 実仕入価格は店舗ごとに調整
V013,レタス,葉物,kg,167.000,0.167,0.85,200.400,250.500,市場価格ベース / 実仕入価格は店舗ごとに調整
V014,きゅうり,果菜,kg,397.000,0.397,0.95,476.400,595.500,市場価格ベース / 実仕入価格は店舗ごとに調整
V015,なす,果菜,kg,478.000,0.478,0.95,573.600,717.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V016,トマト,果菜,kg,430.000,0.430,0.95,516.000,645.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V017,ミニトマト,果菜,kg,624.000,0.624,0.95,748.800,936.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V018,ピーマン,果菜,kg,704.000,0.704,0.95,844.800,1056.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V019,ごぼう,根菜,kg,380.000,0.380,0.85,456.000,570.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V020,れんこん,根菜,kg,369.000,0.369,0.85,442.800,553.500,市場価格ベース / 実仕入価格は店舗ごとに調整
V021,ブロッコリー,その他,kg,424.000,0.424,0.80,508.800,636.000,花蕾類(本マスタではその他) / 市場価格ベース / 実仕入価格は店舗ごとに調整
V022,かぼちゃ,果菜,kg,245.000,0.245,0.80,294.000,367.500,市場価格ベース / 実仕入価格は店舗ごとに調整
V023,にんにく,香味野菜,kg,1567.000,1.567,0.90,1880.400,2350.500,輸入物中心で価格変動大 / 市場価格ベース / 実仕入価格は店舗ごとに調整
V024,しょうが,香味野菜,kg,1198.000,1.198,0.90,1437.600,1797.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V025,生しいたけ,きのこ,kg,1017.000,1.017,0.95,1220.400,1525.500,市場価格ベース / 実仕入価格は店舗ごとに調整
V026,えのきだけ,きのこ,kg,288.000,0.288,0.95,345.600,432.000,市場価格ベース / 実仕入価格は店舗ごとに調整
V027,しめじ,きのこ,kg,399.000,0.399,0.95,478.800,598.500,市場価格ベース / 実仕入価格は店舗ごとに調整
